呐喊,https://book.douban.com/subject/1449351/,鲁迅 / 人民文学出版社 / 1973年3月 / 0.36元,8.9,58186人评价,新文学的第一声呐喊
乌合之众,https://book.douban.com/subject/1012611/,（法）勒庞 / 冯克利 / 中央编译出版社 / 2011-5-1 / 16.00元,8.2,63906人评价,群氓心理剖析
遇见未知的自己,https://book.douban.com/subject/2340100/,张德芬 / 华夏出版社 / 2008-1 / 29.00,8.0,64727人评价,都市灵修速成
动物农场,https://book.douban.com/subject/2035179/,[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元,9.2,55562人评价,太阳底下并无新事
爱你就像爱生命,https://book.douban.com/subject/3071717/,王小波 / 上海锦绣文章出版社 / 2008-5 / 18.00元,8.8,57526人评价,王小波与李银河的两地书
当我谈跑步时我谈些什么,https://book.douban.com/subject/3369600/,[日] 村上春树 / 施小炜 / 南海出版公司 / 2009-1 / 25.00,8.2,61682人评价,村上同志告诉我们，身体是革命的本钱
安徒生童话故事集,https://book.douban.com/subject/1046209/,（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00,9.2,53337人评价,远不是童话那么简单
红玫瑰与白玫瑰,https://book.douban.com/subject/1014278/,张爱玲 / 花城出版社 / 1996-06 / 12.80元,8.4,58828人评价,蚊子血还是饭黏子？
巨人的陨落,https://book.douban.com/subject/26698660/,[英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / 129.80元,8.9,51769人评价,五个家族，一场战争
鬼吹灯之精绝古城,https://book.douban.com/subject/1882933/,天下霸唱 / 安徽文艺出版社 / 2006 / 25.00元,8.1,56046人评价,盗墓祖师名不虚传
城南旧事,https://book.douban.com/subject/1254588/,林海音 文 / 中国青年出版社 / 2003-7 / 16.00元,9.0,51201人评价,长亭外，古道边，芳草碧连天
我不喜欢这世界，我只喜欢你,https://book.douban.com/subject/26414020/,乔一 / 湖南少年儿童出版社 / 2015-5-1 / 29.80元,8.0,54270人评价,一想到能和你共度余生，我就对余生充满期待
阿Q正传,https://book.douban.com/subject/1088065/,鲁迅 著 / 上海书店出版社 / 2003-7 / 14.50元,8.7,50077人评价,哀其不幸，怒其不争
